iter	Passed	Remaining
0	138	138094
1	140	69948
2	141	47148
3	143	35767
4	145	28976
5	147	24488
6	149	21252
7	151	18782
8	153	16902
9	155	15378
10	156	14090
11	158	13021
12	159	12107
13	160	11332
14	162	10659
15	163	10065
16	165	9553
17	166	9101
18	168	8720
19	170	8342
20	171	8008
21	173	7698
22	174	7418
23	176	7160
24	177	6922
25	179	6714
26	180	6505
27	181	6311
28	183	6138
29	184	5966
30	185	5813
31	187	5664
32	188	5527
33	190	5401
34	191	5281
35	193	5169
36	194	5063
37	195	4955
38	197	4867
39	199	4779
40	200	4693
41	202	4608
42	203	4526
43	204	4447
44	206	4379
45	207	4311
46	209	4242
47	210	4176
48	212	4126
49	214	4067
50	215	4011
51	216	3954
52	218	3897
53	219	3844
54	221	3800
55	222	3751
56	223	3702
57	225	3656
58	226	3611
59	228	3573
60	229	3530
61	230	3489
62	232	3452
63	233	3415
64	235	3385
65	236	3350
66	238	3315
67	239	3279
68	240	3246
69	242	3219
70	243	3190
71	245	3160
72	246	3130
73	247	3100
74	249	3073
75	250	3047
76	252	3020
77	253	2994
78	254	2969
79	256	2945
80	257	2925
81	259	2903
82	260	2873
83	261	2849
84	263	2834
85	265	2816
86	266	2796
87	267	2774
88	269	2756
89	270	2738
90	272	2722
91	273	2703
92	275	2686
93	276	2668
94	278	2651
95	279	2633
96	281	2616
97	282	2599
98	283	2583
99	285	2565
100	286	2550
101	288	2536
102	289	2520
103	290	2506
104	292	2489
105	293	2474
106	294	2458
107	295	2443
108	297	2429
109	298	2414
110	299	2399
111	301	2387
112	303	2380
113	304	2370
114	306	2357
115	307	2345
116	308	2330
117	310	2319
118	311	2306
119	312	2295
120	314	2284
121	315	2271
122	317	2264
123	319	2254
124	320	2242
125	321	2231
126	322	2219
127	324	2209
128	325	2200
129	327	2191
130	328	2181
131	330	2170
132	331	2160
133	333	2153
134	334	2142
135	335	2131
136	336	2121
137	337	2110
138	339	2100
139	340	2090
140	341	2080
141	342	2068
142	343	2059
143	344	2049
144	345	2039
145	347	2032
146	348	2024
147	350	2016
148	351	2007
149	352	1999
150	354	1991
151	355	1983
152	356	1974
153	357	1966
154	359	1959
155	361	1954
156	363	1950
157	364	1942
158	365	1935
159	367	1928
160	368	1918
161	369	1911
162	370	1903
163	372	1896
164	373	1888
165	374	1881
166	375	1874
167	377	1869
168	379	1863
169	380	1857
170	381	1851
171	383	1844
172	384	1837
173	385	1831
174	386	1824
175	388	1818
176	389	1812
177	391	1805
178	392	1801
179	394	1796
180	395	1789
181	396	1783
182	397	1776
183	399	1771
184	400	1764
185	401	1758
186	403	1754
187	404	1748
188	406	1742
189	407	1739
190	409	1733
191	410	1727
192	411	1722
193	413	1716
194	414	1710
195	415	1704
196	417	1700
197	418	1694
198	419	1688
199	420	1682
200	422	1679
201	423	1674
202	425	1669
203	426	1665
204	428	1660
205	429	1655
206	430	1651
207	432	1646
208	433	1640
209	434	1635
210	436	1631
211	438	1628
212	439	1623
213	440	1619
214	442	1614
215	443	1609
216	445	1607
217	446	1602
218	448	1598
219	449	1593
220	450	1588
221	452	1586
222	454	1582
223	455	1578
224	456	1573
225	458	1569
226	459	1565
227	460	1560
228	462	1556
229	463	1552
230	465	1548
231	467	1546
232	468	1543
233	470	1539
234	471	1535
235	473	1531
236	474	1527
237	475	1523
238	477	1519
239	478	1515
240	479	1511
241	481	1508
242	483	1505
243	484	1501
244	485	1497
245	487	1493
246	488	1489
247	490	1486
248	491	1482
249	492	1478
250	494	1474
251	495	1470
252	497	1468
253	498	1465
254	500	1462
255	502	1458
256	503	1455
257	504	1452
258	506	1448
259	507	1444
260	509	1441
261	510	1438
262	512	1436
263	514	1433
264	515	1429
265	516	1426
266	518	1422
267	519	1418
268	521	1415
269	522	1412
270	523	1408
271	525	1405
272	526	1402
273	528	1399
274	529	1396
275	531	1393
276	532	1390
277	533	1386
278	535	1383
279	536	1380
280	538	1377
281	539	1373
282	541	1370
283	543	1369
284	544	1366
285	546	1364
286	547	1361
287	549	1358
288	550	1355
289	552	1352
290	553	1349
291	555	1346
292	558	1347
293	560	1345
294	561	1341
295	562	1338
296	564	1335
297	565	1332
298	567	1329
299	568	1326
300	569	1323
301	571	1322
302	573	1319
303	575	1317
304	576	1314
305	578	1311
306	579	1308
307	580	1304
308	582	1301
309	583	1298
310	585	1296
311	586	1293
312	588	1291
313	589	1288
314	591	1286
315	592	1283
316	594	1280
317	595	1278
318	597	1274
319	598	1272
320	600	1269
321	601	1266
322	603	1264
323	604	1261
324	605	1258
325	607	1255
326	608	1252
327	610	1250
328	611	1247
329	613	1245
330	614	1242
331	616	1239
332	617	1237
333	619	1234
334	620	1231
335	621	1228
336	623	1225
337	624	1223
338	625	1220
339	627	1217
340	628	1215
341	630	1212
342	631	1210
343	633	1208
344	634	1205
345	636	1202
346	637	1199
347	638	1197
348	640	1194
349	641	1191
350	643	1188
351	644	1186
352	645	1183
353	647	1181
354	649	1179
355	650	1176
356	651	1174
357	653	1171
358	654	1169
359	656	1166
360	657	1164
361	658	1161
362	660	1158
363	662	1157
364	663	1154
365	665	1152
366	666	1149
367	668	1147
368	669	1144
369	670	1142
370	672	1139
371	673	1137
372	675	1135
373	676	1132
374	678	1130
375	680	1128
376	681	1126
377	683	1124
378	684	1121
379	685	1119
380	687	1116
381	688	1114
382	689	1111
383	691	1109
384	693	1107
385	694	1105
386	696	1102
387	697	1100
388	699	1098
389	700	1095
390	701	1093
391	703	1090
392	704	1088
393	706	1086
394	707	1084
395	709	1081
396	710	1079
397	711	1076
398	713	1074
399	714	1072
400	716	1069
401	717	1067
402	719	1065
403	720	1063
404	722	1061
405	724	1059
406	725	1057
407	726	1054
408	728	1052
409	729	1050
410	731	1047
411	732	1045
412	734	1043
413	735	1041
414	737	1039
415	739	1037
416	740	1035
417	741	1032
418	742	1030
419	744	1027
420	745	1025
421	746	1023
